data,longitude,latitude,magnitude,regiao
2021-02-13T12:36:16.0Z,-51114,-29376,2.0,Nova Petropolis/RS
2021-02-09T10:14:18.0Z,-59600,2800,2.2,Guyana
2021-02-09T09:09:30.962Z,-38341,-4276,1.6,Cascavel/CE
2021-02-09T09:06:15.369Z,-38345,-4278,1.5,Cascavel/CE
2021-02-07T23:08:05.0Z,-59590,2870,3.8,Guyana
2021-02-07T22:40:45.0Z,-59558,3013,4.3,Guyana
2021-02-07T15:40:01.0Z,-38242,-4133,2.2,Cascavel/CE
2021-02-03T02:07:02.63Z,-40536,-11178,2.7,Jacobina/BA
2021-02-02T04:26:31.0Z,-59576,2763,3.7,Guyana
2021-02-01T11:16:18.0Z,-59582,2725,2.7,Guyana
2021-01-31T20:03:45.0Z,-59589,2825,3.8,Guyana
2021-01-31T19:48:46.0Z,-59537,2743,3.9,Guyana
2021-01-31T19:36:48.689Z,-59602,2749,3.8,Guyana
2021-01-31T19:34:45.0Z,-59474,2736,3.2,Guyana
2021-01-31T19:32:31.89Z,-59582,2725,3.7,Guyana
2021-01-31T19:24:30.0Z,-59586,2726,3.3,Guyana
2021-01-31T19:22:53.0Z,-59586,2726,2.8,Guyana
2021-01-31T19:20:41.0Z,-59586,2726,3.4,Guyana
2021-01-31T19:05:13.541Z,-59570,2645,5.6,Guyana
2021-01-31T15:42:50.631Z,-40014,-9884,2.4,Jaguarari/BA
2021-01-29T15:46:07.125Z,-74135,-8490,4.2,Peru-Brazil Border Region
2021-01-29T15:36:55.18Z,-37561,-4857,1.5,Jaguaruana/CE
2021-01-28T18:08:47.834Z,-48811,-20879,2.8,Cajobi/SP
2021-01-28T10:57:50.119Z,-45587,-19456,2.0,Dores do Indaia/MG
2021-01-27T10:48:15.802Z,-39262,-4093,1.7,Paramoti/CE
2021-01-27T08:27:50.390Z,-39242,-4060,1.9,Paramoti/CE
2021-01-27T03:53:07.856Z,-38485,-4284,1.5,Chorozinho/CE
2021-01-27T01:50:02.839Z,-38522,-4350,1.5,Chorozinho/CE
2021-01-26T04:06:03.401Z,-40038,-3843,1.9,Forquilha/CE
2021-01-25T06:40:10.0Z,-40560,-11176,1.1,Jacobina/BA
2021-01-25T06:07:54.509Z,-40589,-11190,2.6,Jacobina/BA
2021-01-24T04:23:30.6Z,-36934,-10106,1.8,Canhoba/SE
2021-01-22T17:01:13.613Z,-37488,-5687,2.4,Caraubas/RN
2021-01-22T04:11:55.0Z,-45718,-19390,3.0,Dores do Indaia/MG
2021-01-17T17:12:06.21Z,-48678,-13161,3.2,Montividiu do Norte/GO
2021-01-15T22:36:37.7Z,-39380,-5129,1.9,Quixeramobim/CE
2021-01-09T15:39:11.687Z,-58422,-25434,2.2,Northeastern Argentina
2021-01-07T15:27:44.690Z,-40104,-3715,2.1,Sobral/CE
2021-01-07T02:46:29.358Z,-40318,-3540,2.2,Massape/CE
