ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1922,8,1,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1922,8,8,12,30,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1923,2,,,,-8360,-36560,  0.0, 0.0,PE,Pesqueira Belo_Jardim,
1923,10,1,11,20,-8450,-36700,  0.0, 4.1,PE,Pesqueira,
1923,10,10,,,-6400,-38860,  0.0, 0.0,CE,Icó,
1924,,,,,-8280,-35960,  0.0, 3.0,PE,CARUARU,
1925,,,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1925,11,7,,,-16300,-49000,  0.0, 0.0,GO,Anápolis,
1926,2,19,,,-19480,-46540,  0.0, 0.0,MG,Ibiá,
1926,3,1,,,3830,-51840,  0.0, 0.0,AP,OIAPOQUE,
1927,,,0,,-6040,-38460,  0.0, 3.0,CE,PEREIRO,
1927,6,18,20,55,-31400,-61800,  0.0, 0.0,AR,Argentina,
1928,,,,,-21820,-52050,  0.0, 0.0,SP,Pres. EPITACIO,
1928,4,14,21,59,-4560,-37760,  0.0, 4.0,CE,ARACATI,
1928,6,7,21,30,-5420,-39360,  0.0, 3.6,CE,LACERDA,
1928,9,28,,,2820,-60680,  0.0, 0.0,RR,BOA VISTA,
1929,,,,,-4560,-37760,  0.0, 0.0,CE,ARACATI,
1929,10,5,,,-5110,-38370,  0.0, 0.0,CE,MORADA NOVA,
1929,11,10,1,4,-27500,-58900,  0.0, 2.5,AR,R.Parana Corrientes,
1929,12,20,22,40,-8290,-35970,  0.0, 3.0,PE,Caruaru,
1930,,,,,560,-29220,  0.0, 0.0,,PENEDOS S.P.S.PAULO,
1930,7,9,4,,-8470,-36700,  0.0, 0.0,PE,Pesqueira Açude-Meio,
1930,9,30,,,560,-29220,  0.0, 0.0,,Rochedos S.P.S.Paulo,
1931,5,8,21,,-18510,-54760,  0.0, 3.5,MS,Coxim,
1931,5,23,3,,-16000,-44300,  0.0, 4.9,MG,S.Francisco,
1931,9,27,23,25,-19460,-44240,  0.0, 3.5,MG,Sete Lagoas,
1932,5,26,,,-16570,-42890,  0.0, 0.0,MG,Grão Mogol,
1933,5,6,,,3830,-51840,  0.0, 0.0,AP,OIAPOQUE,
1934,,,,,-29450,-51500,  0.0, 0.0,RS,SALV. DO SUL,
1935,1,2,1,12,-29600,-60000,  0.0, 3.0,AR,Vera, Santa Fé
1935,1,6,,,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1935,10,17,,,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1935,10,21,7,40,-21030,-44750,  0.0, 3.7,MG,BOM SUCESSO,
1935,10,22,20,,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1936,2,12,13,20,-21030,-44750,  0.0, 3.5,MG,Bom Sucesso,
1936,4,19,,,-21020,-47370,  0.0, 0.0,SP,Altinopolis,
1937,,,,,-9100,-38150,  0.0, 0.0,PE,TACARATU,
1937,3,17,,,-4070,-38760,  0.0, 3.5,CE,Cachoeira,
1938,3,1,3,30,-22550,-43950,  0.0, 3.4,RJ,Barra do Piraí,
1938,3,,,,-29170,-51180,  0.0, 0.0,RS,Caxias,
1939,4,,,,-21030,-44750,  0.0, 0.0,MG,Bom Sucesso,
1939,4,13,19,,-19800,-44710,  0.0, 3.3,MG,Pará-Minas Pitangui,
1939,6,4,23,30,-15600,-56100,  0.0, 0.0,MT,CUIABÁ,
1939,6,28,11,32,-29000,-48000,  0.0, 5.9,SC,TUBARAO,
1940,11,,,,-21030,-44750,  0.0, 0.0,MG,Bom Sucesso,
1940,11,,,,-9450,-36380,  0.0, 0.0,AL,Mar Vermelho,
1941,,,,,-7000,-62700,  0.0, 0.0,AM,TRES CASAS,
1941,4,11,9,5,-16100,-54500,  0.0, 4.4,MT,RONDONOPOLIS CUIABA,
1942,,,15,30,-3100,-40840,  0.0, 3.0,CE,GRANJA,
1944,8,23,,,-14500,-49200,  0.0, 3.0,MS,Damianópolis,
1945,3,23,17,20,-22880,-42020,  0.0, 0.0,RJ,Cabo Frio,
1945,8,,22,,-8470,-36780,  0.0, 0.0,PE,Alagoinha Pesqueira,
1946,7,18,4,15,-25100,-47700,  0.0, 4.6,SP,CANANEIA,
1946,10,7,17,25,-1440,-48480,  0.0, 2.8,PA,BELEM,
1946,10,13,10,45,-21700,-46590,  0.0, 3.6,MG,P.de_Caldas Caconde,
1947,2,1,1,,-21310,-46710,  0.0, 3.0,MG,Guaxupé,
