#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp2021fsnc|2021-03-23T06:42:50.99761|-9.841824|-78.912621|10.0|cleusa||USP|usp2021fsnc|mb|4.621478658|cleusa|Near Coast of Northern Peru
usp2021fsfi|2021-03-23T02:48:49.274646|7.114934|-71.264923|29.0|cleusa||USP|usp2021fsfi|mb|4.592086789|cleusa|Venezuela
usp2021fquk|2021-03-22T08:11:01.902397|-20.931034|-66.962906|211.5599823|jroberto||USP|usp2021fquk|mb|4.218872474|jroberto|Southern Bolivia
usp2021fqsc|2021-03-22T07:00:05.110117|-24.192690|-67.066269|186.0|cleusa||USP|usp2021fqsc|mb|4.284110884|cleusa|Chile-Argentina Border Region
usp2021fqrk|2021-03-22T06:39:12.392923|-23.190365|-70.575592|155.0|cleusa||USP|usp2021fqrk|mb|4.018552157|cleusa|Near Coast of Northern Chile
usp2021fqnk|2021-03-22T04:37:42.408742|3.933089|-71.419456|10.0|jroberto||USP|usp2021fqnk|mb|5.221624836|jroberto|Colombia
usp2021fpla|2021-03-21T14:17:14.381753|-19.534727|-64.091911|598.7972412|jroberto||USP|usp2021fpla|mb|5.379865282|jroberto|Southern Bolivia
usp2021fpej|2021-03-21T10:55:25.79405|-21.107004|-67.340012|184.6852112|jroberto||USP|usp2021fpej|mb|4.764508597|jroberto|Chile-Bolivia Border Region
usp2021foss|2021-03-21T05:02:06.435024|14.115499|-92.465775|35.0|cleusa||USP|usp2021foss|mb|4.950685971|cleusa|Near Coast of Chiapas, Mexico
usp2021foih|2021-03-20T23:46:07.286594|3.604266|-70.791519|10.0|jroberto||USP|usp2021foih|mb|4.786044338|jroberto|Colombia
usp2021foaf|2021-03-20T19:40:54.29019|16.893356|146.066650|128.4579773|jroberto||USP|usp2021foaf|mb|4.55642327|jroberto|Mariana Islands
usp2021fnrl|2021-03-20T15:15:12.943714|-26.882227|-108.978561|10.0|jroberto||USP|usp2021fnrl|mb|5.179769804|jroberto|Easter Island Region
usp2021fnfj|2021-03-20T09:09:45.024675|38.527645|141.548721|52.5268364|cleusa||USP|usp2021fnfj|mB|7.038776219|cleusa|Near East Coast of Honshu, Japan
usp2021fmtk|2021-03-20T03:06:29.08603|16.531265|-99.018288|10.0|jroberto||USP|usp2021fmtk|mb|5.191545213|jroberto|Near Coast of Guerrero, Mexico
usp2021fmqv|2021-03-20T01:49:17.653976|47.307491|-27.400162|10.0|jroberto||USP|usp2021fmqv|mb|5.199350922|jroberto|Northern Mid Atlantic Ridge
usp2021fmno|2021-03-20T00:09:13.225261|-23.052811|-70.257690|67.2435379|jroberto||USP|usp2021fmno|mb|4.65644337|jroberto|Near Coast of Northern Chile
usp2021fmdc|2021-03-19T18:52:36.690479|-35.209290|178.729874|106.2082291|jroberto||USP|usp2021fmdc|mb|5.301608961|jroberto|Off E. Coast of N. Island, N.Z.
usp2021fldz|2021-03-19T06:11:26.46231|31.769726|92.851089|10.0|cleusa||USP|usp2021fldz|mb|5.61943191|cleusa|Xizang
usp2021flcy|2021-03-19T05:39:58.233671|-20.476954|-43.957294|0.0|bruno||USP|usp2021flcy|MLv|2.009937695|bruno|Jeceaba/MG
usp2021fkyf|2021-03-19T03:16:31.90135|55.346973|160.775955|10.0|cleusa||USP|usp2021fkyf|mb|4.818677044|cleusa|Kamchatka Peninsula, Russia
usp2021fkpc|2021-03-18T22:40:07.352244|-24.327316|-68.008011|204.7166901|jroberto||USP|usp2021fkpc|mb|4.338265215|jroberto|Chile-Argentina Border Region
usp2021fkmb|2021-03-18T21:07:16.833435|-11.184310|-40.538185|0.0|jroberto||USP|usp2021fkmb|MLv|1.502288683|jroberto|Jacobina/BA
usp2021fkja|2021-03-18T19:36:09.847361|-11.178183|-40.547180|0.0|jroberto||USP|usp2021fkja|mR|2.211297396|jroberto|Jacobina/BA
usp2021fjaa|2021-03-18T01:55:20.62064|16.263830|-90.496254|205.0|cleusa||USP|usp2021fjaa|mb|4.616420285|cleusa|Mexico-Guatemala Border Region
usp2021fiwj|2021-03-18T00:04:07.043314|36.723129|5.381093|10.0|cleusa||USP|usp2021fiwj|mB|6.044213409|cleusa|Northern Algeria
usp2021fhrn|2021-03-17T08:28:49.231717|37.765125|141.726181|56.0|cleusa||USP|usp2021fhrn|mb|4.827045275|cleusa|Near East Coast of Honshu, Japan
